anchor_date,route,horizon_days,model,mae,rmse,wmape
2017-07-25,AER-SVO,1,timesfm,14.068206787109375,14.068206849834365,0.04382618889212608
2017-07-25,AER-SVO,1,naive_last,18.0,18.0,0.05607476457953453
2017-07-25,AER-SVO,1,seasonal7,21.0,21.0,0.06542056053876877
2017-07-25,AER-SVO,7,timesfm,26.247920989990234,27.66288651835422,0.08553791791200638
2017-07-25,AER-SVO,7,naive_last,9.571428298950195,11.141941501040007,0.031191807240247726
2017-07-25,AER-SVO,7,seasonal7,22.285715103149414,34.79737314416671,0.07262569665908813
2017-07-25,AER-SVO,14,timesfm,20.622404098510742,23.89682846413999,0.06570634245872498
2017-07-25,AER-SVO,14,naive_last,14.714285850524902,19.261360284258224,0.046882111579179764
2017-07-25,AER-SVO,14,seasonal7,22.428571701049805,31.78499182894981,0.07146108150482178
2017-07-25,AER-VKO,1,timesfm,1.070526123046875,1.0705261017326793,0.006862347014248371
2017-07-25,AER-VKO,1,naive_last,14.0,14.0,0.08974359184503555
2017-07-25,AER-VKO,1,seasonal7,1.0,1.0,0.006410256493836641
2017-07-25,AER-VKO,7,timesfm,15.80218505859375,20.473870721586056,0.094623863697052
2017-07-25,AER-VKO,7,naive_last,25.0,27.320845317580996,0.1497005969285965
2017-07-25,AER-VKO,7,seasonal7,14.428571701049805,18.481651486011486,0.08639863133430481
2017-07-25,AER-VKO,14,timesfm,15.145106315612793,18.37266556838965,0.09295549988746643
2017-07-25,AER-VKO,14,naive_last,20.928571701049805,25.04424673320389,0.12845243513584137
2017-07-25,AER-VKO,14,seasonal7,16.5,21.05604775870336,0.1012713685631752
2017-07-25,DME-KHV,1,timesfm,17.206298828125,17.206299200517652,0.0905594676733017
2017-07-25,DME-KHV,1,naive_last,46.0,46.0,0.24210526049137115
2017-07-25,DME-KHV,1,seasonal7,31.0,31.0,0.1631578952074051
2017-07-25,DME-KHV,7,timesfm,14.687403678894043,17.148545166233763,0.07100264728069305
2017-07-25,DME-KHV,7,naive_last,29.14285659790039,32.78065605098245,0.14088398218154907
2017-07-25,DME-KHV,7,seasonal7,30.428571701049805,31.81868301591358,0.14709945023059845
2017-07-25,DME-KHV,14,timesfm,13.867690086364746,15.905819750289858,0.06824170798063278
2017-07-25,DME-KHV,14,naive_last,32.78571319580078,35.92154197322792,0.16133567690849304
2017-07-25,DME-KHV,14,seasonal7,30.071428298950195,33.37556874222801,0.14797891676425934
2017-07-25,DME-KRR,1,timesfm,25.580795288085938,25.580795046192613,0.1716831922531128
2017-07-25,DME-KRR,1,naive_last,50.0,50.0,0.33557048439979553
2017-07-25,DME-KRR,1,seasonal7,34.0,34.0,0.2281879186630249
2017-07-25,DME-KRR,7,timesfm,17.358753204345703,24.061544979018777,0.09448777139186859
2017-07-25,DME-KRR,7,naive_last,25.0,28.508144352686195,0.13608087599277496
2017-07-25,DME-KRR,7,seasonal7,27.428571701049805,33.6494541798461,0.14930015802383423
2017-07-25,DME-KRR,14,timesfm,13.345829963684082,18.599246659968767,0.07341517508029938
2017-07-25,DME-KRR,14,naive_last,22.071428298950195,24.85242208117312,0.12141453474760056
2017-07-25,DME-KRR,14,seasonal7,20.214284896850586,26.700722628183446,0.11119842529296875
2017-07-25,DME-KUF,1,timesfm,9.31610107421875,9.316101197180787,0.06469514966011047
2017-07-25,DME-KUF,1,naive_last,13.0,13.0,0.0902777761220932
2017-07-25,DME-KUF,1,seasonal7,14.0,14.0,0.0972222238779068
2017-07-25,DME-KUF,7,timesfm,20.421478271484375,25.078678683529535,0.14828874170780182
2017-07-25,DME-KUF,7,naive_last,25.0,28.18054086246006,0.1815352737903595
2017-07-25,DME-KUF,7,seasonal7,22.714284896850586,28.246364663425606,0.16493776440620422
2017-07-25,DME-KUF,14,timesfm,18.148605346679688,22.553630744641204,0.1293688714504242
