ATM_ID,forecast_date,horizon_day,cash_p50,cash_q10,cash_q90,last_known_cash_level,atm_median_withdrawal
ATM_0001,2023-12-17,1,42482.79296875,36670.43359375,48198.25,105574.0,52477.0
ATM_0001,2023-12-18,2,43020.96875,36859.45703125,48886.2109375,105574.0,52477.0
ATM_0001,2023-12-19,3,51968.03515625,45514.73828125,57814.61328125,105574.0,52477.0
ATM_0001,2023-12-20,4,51510.484375,45075.1640625,57401.765625,105574.0,52477.0
ATM_0001,2023-12-21,5,49329.26171875,42826.69921875,55159.3515625,105574.0,52477.0
ATM_0001,2023-12-22,6,52563.2421875,46098.66796875,58115.3515625,105574.0,52477.0
ATM_0001,2023-12-23,7,53426.984375,46794.61328125,59155.640625,105574.0,52477.0
ATM_0001,2023-12-24,8,44502.75,37987.0390625,50349.56640625,105574.0,52477.0
ATM_0001,2023-12-25,9,44055.671875,37395.75390625,49851.671875,105574.0,52477.0
ATM_0001,2023-12-26,10,52121.34765625,45241.61328125,57847.1328125,105574.0,52477.0
ATM_0001,2023-12-27,11,51429.7265625,44667.671875,57155.265625,105574.0,52477.0
ATM_0001,2023-12-28,12,48987.51953125,42379.67578125,54932.05859375,105574.0,52477.0
ATM_0001,2023-12-29,13,52778.4921875,45966.2109375,58642.25390625,105574.0,52477.0
ATM_0001,2023-12-30,14,53574.859375,46798.9921875,59207.21875,105574.0,52477.0
ATM_0001,2023-12-31,15,44590.7265625,37960.35546875,50461.890625,105574.0,52477.0
ATM_0001,2024-01-01,16,44059.71484375,37471.828125,50011.08984375,105574.0,52477.0
ATM_0001,2024-01-02,17,52062.171875,45316.7890625,57841.87109375,105574.0,52477.0
ATM_0001,2024-01-03,18,51134.1640625,44574.44921875,57048.2734375,105574.0,52477.0
ATM_0001,2024-01-04,19,48712.94140625,42209.9375,54887.234375,105574.0,52477.0
ATM_0001,2024-01-05,20,52560.23046875,46127.29296875,58757.1796875,105574.0,52477.0
ATM_0001,2024-01-06,21,53703.51171875,47124.20703125,59874.9375,105574.0,52477.0
ATM_0001,2024-01-07,22,44731.46875,38170.6171875,51055.921875,105574.0,52477.0
ATM_0001,2024-01-08,23,44032.65234375,37607.50390625,50237.2734375,105574.0,52477.0
ATM_0001,2024-01-09,24,51939.20703125,45164.890625,58037.6875,105574.0,52477.0
ATM_0001,2024-01-10,25,50953.94140625,44477.421875,57164.75,105574.0,52477.0
ATM_0001,2024-01-11,26,49069.50390625,42555.90625,55468.81640625,105574.0,52477.0
ATM_0001,2024-01-12,27,52695.80078125,46157.70703125,58913.46875,105574.0,52477.0
ATM_0001,2024-01-13,28,53509.03125,46887.890625,59812.28515625,105574.0,52477.0
ATM_0001,2024-01-14,29,44578.203125,38033.98046875,50965.4921875,105574.0,52477.0
ATM_0001,2024-01-15,30,44112.30859375,37611.15234375,50465.6015625,105574.0,52477.0
ATM_0002,2024-01-02,1,47867.8828125,43675.44140625,52067.34375,97381.0,49806.5
ATM_0002,2024-01-03,2,48944.40234375,44503.5234375,53416.3828125,97381.0,49806.5
ATM_0002,2024-01-04,3,46238.66015625,41653.0546875,50918.9609375,97381.0,49806.5
ATM_0002,2024-01-05,4,49366.37109375,44646.2109375,54071.54296875,97381.0,49806.5
ATM_0002,2024-01-06,5,49226.13671875,44421.390625,54005.62109375,97381.0,49806.5
ATM_0002,2024-01-07,6,51486.88671875,46573.72265625,56194.8984375,97381.0,49806.5
ATM_0002,2024-01-08,7,50807.11328125,45912.05078125,55593.9453125,97381.0,49806.5
ATM_0002,2024-01-09,8,48521.2421875,43568.9140625,53321.41015625,97381.0,49806.5
ATM_0002,2024-01-10,9,49119.70703125,44082.4921875,53957.5546875,97381.0,49806.5
ATM_0002,2024-01-11,10,46401.47265625,41311.09375,51357.4140625,97381.0,49806.5
ATM_0002,2024-01-12,11,49357.84375,44166.53125,54307.91796875,97381.0,49806.5
ATM_0002,2024-01-13,12,49112.0859375,43870.09375,54056.296875,97381.0,49806.5
ATM_0002,2024-01-14,13,51421.70703125,46082.01953125,56460.85546875,97381.0,49806.5
ATM_0002,2024-01-15,14,51051.62890625,45845.54296875,56128.4609375,97381.0,49806.5
ATM_0002,2024-01-16,15,48739.1953125,43553.078125,53896.4140625,97381.0,49806.5
ATM_0002,2024-01-17,16,49299.67578125,44032.28125,54428.05859375,97381.0,49806.5
ATM_0002,2024-01-18,17,46591.484375,41334.6640625,51725.55859375,97381.0,49806.5
ATM_0002,2024-01-19,18,49498.203125,44180.7890625,54644.90625,97381.0,49806.5
ATM_0002,2024-01-20,19,49129.3203125,43714.421875,54373.1015625,97381.0,49806.5
ATM_0002,2024-01-21,20,51579.640625,46248.52734375,56738.73046875,97381.0,49806.5
ATM_0002,2024-01-22,21,50907.80078125,45689.08984375,56057.32421875,97381.0,49806.5
ATM_0002,2024-01-23,22,48869.47265625,43671.2578125,53946.90625,97381.0,49806.5
ATM_0002,2024-01-24,23,49438.84765625,44266.31640625,54470.64453125,97381.0,49806.5
ATM_0002,2024-01-25,24,46502.83203125,41259.84375,51608.7890625,97381.0,49806.5
ATM_0002,2024-01-26,25,49437.203125,44173.34765625,54580.703125,97381.0,49806.5
ATM_0002,2024-01-27,26,48853.9921875,43476.2578125,54109.75390625,97381.0,49806.5
ATM_0002,2024-01-28,27,51253.3828125,45957.01953125,56413.35546875,97381.0,49806.5
ATM_0002,2024-01-29,28,50699.796875,45351.44921875,55869.94921875,97381.0,49806.5
