ATM_ID,week_cash_p50,week_cash_q90
ATM_0001,344301.76953125,384731.18359375
ATM_0002,343937.453125,376268.6953125
ATM_0003,346677.046875,375862.3828125
ATM_0004,342506.703125,378392.61328125
ATM_0005,392319.55078125,460147.08984375
ATM_0006,370454.7578125,437134.33203125
ATM_0007,363770.23828125,421666.828125
ATM_0008,367944.77734375,408298.29296875
ATM_0009,351138.1953125,373695.390625
ATM_0010,347360.84765625,393702.03125
ATM_0011,379285.5859375,424458.578125
ATM_0012,367129.40625,421396.73046875
ATM_0013,351977.82421875,411324.8359375
ATM_0014,348943.9765625,399315.4609375
ATM_0015,376792.4765625,501280.1015625
ATM_0016,337920.03515625,365186.33984375
ATM_0017,382494.16015625,418118.2421875
ATM_0018,353369.4296875,409196.18359375
ATM_0019,346969.54296875,390193.11328125
ATM_0020,355550.375,429604.73828125
ATM_0021,342325.515625,385768.125
ATM_0022,354605.24609375,402556.625
ATM_0023,371495.80078125,428865.55078125
ATM_0024,348983.12109375,387420.09375
ATM_0025,368774.125,443796.421875
ATM_0026,365257.51171875,440422.0
ATM_0027,360759.74609375,408195.37890625
ATM_0028,370576.78515625,421791.5546875
ATM_0029,340965.54296875,395642.51171875
ATM_0030,354891.6875,392404.2421875
ATM_0031,367267.64453125,388312.203125
ATM_0032,347557.25,378502.765625
ATM_0033,339105.46875,372915.1875
ATM_0034,367126.15625,436313.53125
ATM_0035,351462.765625,410874.9140625
ATM_0036,368543.0625,426851.1171875
ATM_0037,380652.38671875,492938.95703125
ATM_0038,354301.7109375,431232.765625
ATM_0039,352233.4765625,426702.62109375
ATM_0040,346093.390625,415002.6328125
ATM_0041,369053.95703125,440617.75
ATM_0042,354895.84375,390373.77734375
ATM_0043,351008.3515625,403441.38671875
ATM_0044,381818.00390625,417248.05078125
ATM_0045,355193.7734375,422493.25390625
ATM_0046,366545.66015625,416589.96484375
ATM_0047,339298.16015625,396707.640625
ATM_0048,333019.345703125,384067.16796875
ATM_0049,353133.77734375,386835.125
ATM_0050,361813.0703125,392610.30859375
