ATM_ID,forecast_date,horizon_day,cash_p50,cash_q10,cash_q90,last_known_cash_level,atm_median_withdrawal
ATM_0001,2023-12-17,1,42482.79296875,36670.43359375,48198.25,105574.0,52477.0
ATM_0002,2024-01-02,1,47867.8828125,43675.44140625,52067.34375,97381.0,49806.5
ATM_0003,2023-12-23,1,48772.27734375,44598.2421875,53024.2109375,118610.0,48846.0
ATM_0004,2024-01-02,1,50663.76171875,45751.3515625,55978.84765625,88663.0,48532.5
ATM_0005,2023-12-26,1,65931.40625,56999.48828125,75436.1953125,86597.5,57985.0
ATM_0006,2023-12-31,1,56802.7265625,47370.27734375,66438.34375,92929.0,52145.0
ATM_0007,2023-12-26,1,54888.60546875,47847.58984375,62267.44140625,111846.0,49894.0
ATM_0008,2024-01-02,1,49995.5625,43725.40625,56222.1640625,86459.0,52900.0
ATM_0009,2023-12-31,1,52024.11328125,47889.2890625,55500.69921875,73375.0,51179.5
ATM_0010,2023-12-28,1,55682.37890625,48427.65625,62562.07421875,123783.0,52770.0
ATM_0011,2023-12-29,1,41487.3125,35362.51953125,48592.171875,119814.0,55806.0
ATM_0012,2023-12-31,1,57225.625,50375.03125,65383.3359375,99504.5,50556.0
ATM_0013,2023-12-31,1,52584.31640625,44939.65234375,60619.484375,96289.0,51684.5
ATM_0014,2023-12-25,1,50564.0546875,43973.42578125,57537.3515625,73210.0,52707.0
ATM_0015,2024-01-02,1,60363.9140625,45645.1640625,78309.5,60394.5,53578.0
ATM_0016,2024-01-02,1,49653.3203125,46452.91015625,53671.4296875,122242.0,49721.0
ATM_0017,2023-12-26,1,57800.65234375,53122.95703125,62495.7890625,104533.0,53981.0
ATM_0018,2023-12-30,1,51408.125,43091.890625,58839.2109375,102340.0,51921.0
ATM_0019,2023-12-31,1,52245.4140625,45871.6953125,58688.2421875,88648.0,52024.0
ATM_0020,2023-12-29,1,42934.921875,34080.5546875,52776.53515625,77382.0,52963.5
ATM_0021,2023-12-31,1,49763.61328125,43873.29296875,55188.66015625,107915.0,50898.0
ATM_0022,2023-12-29,1,49919.94140625,43812.08203125,56374.0859375,72722.0,51422.5
ATM_0023,2023-12-31,1,56371.984375,47824.92578125,64170.0234375,71325.0,57526.0
ATM_0024,2024-01-02,1,52215.6015625,47031.2421875,57445.84765625,76404.0,50783.0
ATM_0025,2023-12-23,1,59687.48046875,48776.37890625,69625.4375,129909.0,56130.0
ATM_0026,2023-12-18,1,50773.60546875,41647.1328125,60357.83203125,72836.0,48546.0
ATM_0027,2024-01-01,1,50134.578125,43900.45703125,56771.453125,124456.0,52796.5
ATM_0028,2023-12-30,1,56929.19921875,50309.2265625,63898.14453125,112661.0,54020.0
ATM_0029,2024-01-02,1,36507.46484375,29632.322265625,43484.0390625,142419.0,52353.0
ATM_0030,2023-12-29,1,51085.12890625,45101.86328125,56516.3984375,119106.0,52344.0
ATM_0031,2024-01-01,1,54644.47265625,51138.79296875,57729.359375,92179.0,52482.0
ATM_0032,2023-12-27,1,45517.41015625,39598.28125,50239.5625,117287.0,52403.0
ATM_0033,2023-12-27,1,49022.01171875,44323.16796875,53641.58984375,97167.0,49943.0
ATM_0034,2023-12-09,1,47893.6953125,40043.27734375,56604.48828125,104289.0,54359.0
ATM_0035,2023-12-28,1,49457.359375,39970.109375,58633.921875,71806.0,51279.0
ATM_0036,2023-12-17,1,51652.1171875,42146.73828125,60327.4140625,134882.0,52931.0
ATM_0037,2023-12-30,1,51681.16796875,41277.515625,66182.8203125,120495.0,52433.0
ATM_0038,2024-01-01,1,48331.15234375,38314.42578125,58925.56640625,99259.0,51702.0
ATM_0039,2024-01-02,1,51625.921875,43115.43359375,62057.3203125,109098.0,48050.5
ATM_0040,2023-12-27,1,52240.34375,43168.671875,61535.36328125,109285.0,51461.0
ATM_0041,2023-12-24,1,58166.5546875,51292.5859375,67665.5,113373.0,49497.0
ATM_0042,2023-12-30,1,46776.73046875,41632.0234375,51776.1640625,79780.0,50646.0
ATM_0043,2023-12-30,1,45350.70703125,39145.9765625,52692.3515625,71995.0,48460.5
ATM_0044,2023-12-29,1,52560.70703125,45499.08984375,58231.41796875,116349.0,54460.0
ATM_0045,2023-12-31,1,50060.65625,40462.4296875,59736.765625,84583.0,53112.5
ATM_0046,2023-12-19,1,53933.07421875,46550.51171875,60886.1796875,96773.0,53987.5
ATM_0047,2024-01-02,1,51817.2734375,43333.51953125,60124.5390625,112394.0,50010.0
ATM_0048,2023-12-31,1,43794.66015625,36382.9921875,50596.140625,111036.0,50489.5
ATM_0049,2023-12-29,1,51416.6171875,45766.50390625,56428.125,88723.0,53398.0
ATM_0050,2023-12-31,1,54074.71875,49629.84375,58327.6015625,72464.0,51949.0
