date,patients_p50,patients_q10,patients_q90,is_holiday
2024-04-28,44693.02,43631.527,45565.277,False
2024-04-29,45140.35,43895.707,46120.38,False
2024-04-30,46670.273,45307.652,47730.598,False
2024-05-01,46997.793,45562.227,48103.64,False
2024-05-02,47304.652,45829.715,48438.85,False
2024-05-03,47050.777,45509.324,48178.043,False
2024-05-04,45901.17,44344.555,47036.656,False
2024-05-05,45029.83,43488.01,46187.84,False
2024-05-06,45378.723,43823.77,46513.574,False
2024-05-07,46733.12,45170.125,47870.11,False
2024-05-08,47745.47,46177.305,48868.95,False
2024-05-09,47971.887,46419.566,49104.066,False
2024-05-10,47666.91,46099.22,48740.96,False
2024-05-11,46456.76,44905.11,47558.62,False
2024-05-12,45586.133,44029.754,46668.688,False
2024-05-13,45860.176,44304.758,46933.113,False
2024-05-14,47182.71,45631.074,48261.094,False
2024-05-15,48126.598,46564.04,49217.35,False
2024-05-16,48292.164,46751.527,49417.49,False
2024-05-17,47950.867,46382.234,49037.797,False
2024-05-18,46729.023,45160.41,47815.23,False
2024-05-19,45765.96,44198.207,46853.2,False
2024-05-20,46029.14,44485.027,47103.41,False
2024-05-21,47262.633,45712.734,48322.586,False
2024-05-22,48166.51,46635.375,49233.97,False
2024-05-23,48268.367,46667.56,49372.625,False
2024-05-24,47898.957,46359.996,48980.582,False
2024-05-25,46677.027,45110.492,47772.79,False
2024-05-26,45725.36,44166.35,46835.74,False
2024-05-27,44940.63,43379.766,46012.84,True
2024-05-28,47206.36,45650.285,48277.543,False
2024-05-29,48134.074,46565.676,49209.207,False
2024-05-30,48328.234,46792.227,49430.164,False
2024-05-31,48000.22,46434.215,49080.94,False
2024-06-01,46111.6,44550.184,47194.66,False
2024-06-02,45139.562,43580.863,46216.895,False
2024-06-03,45423.996,43878.6,46518.473,False
2024-06-04,46687.125,45122.707,47758.9,False
2024-06-05,47599.72,46037.47,48664.164,False
2024-06-06,47768.977,46230.184,48875.496,False
2024-06-07,47428.867,45874.285,48534.742,False
2024-06-08,46220.027,44659.184,47320.14,False
2024-06-09,45304.598,43744.09,46414.33,False
2024-06-10,45571.883,44017.227,46673.26,False
2024-06-11,46820.535,45245.69,47918.86,False
2024-06-12,47743.395,46163.46,48844.914,False
2024-06-13,47897.742,46335.0,49015.016,False
2024-06-14,47516.543,45955.914,48632.645,False
2024-06-15,46254.684,44662.26,47347.582,False
2024-06-16,45301.46,43736.914,46417.41,False
2024-06-17,45540.84,43992.184,46644.12,False
2024-06-18,46799.926,45246.12,47891.777,False
2024-06-19,46718.605,45129.02,47847.703,True
2024-06-20,47892.203,46332.555,49019.125,False
2024-06-21,47520.453,45954.53,48619.64,False
2024-06-22,46308.566,44763.203,47369.98,False
2024-06-23,45405.58,43891.273,46479.484,False
2024-06-24,45694.69,44145.12,46785.684,False
2024-06-25,46928.617,45374.355,48020.184,False
2024-06-26,47822.332,46249.8,48901.71,False
2024-06-27,47991.918,46436.195,49105.906,False
2024-06-28,47565.59,46004.76,48642.332,False
2024-06-29,46357.918,44788.79,47445.625,False
2024-06-30,45401.41,43871.92,46489.84,False
2024-07-01,45248.74,43706.402,46361.367,False
2024-07-02,46452.266,44899.215,47566.09,False
2024-07-03,47355.62,45815.984,48468.168,False
2024-07-04,46501.293,44945.703,47646.633,True
2024-07-05,47146.758,45598.805,48289.176,False
2024-07-06,45959.242,44424.055,47080.96,False
2024-07-07,45034.88,43482.445,46138.85,False
2024-07-08,45302.26,43769.047,46417.938,False
2024-07-09,46565.05,45002.883,47667.797,False
2024-07-10,47493.87,45948.05,48590.863,False
2024-07-11,47662.49,46150.336,48768.363,False
2024-07-12,47268.203,45708.973,48357.62,False
2024-07-13,46069.555,44537.52,47158.684,False
2024-07-14,45136.37,43625.06,46224.66,False
2024-07-15,45394.33,43859.047,46497.703,False
2024-07-16,46676.06,45116.21,47762.453,False
2024-07-17,47623.99,46068.188,48726.77,False
2024-07-18,47782.42,46233.91,48894.78,False
2024-07-19,47421.33,45861.32,48542.4,False
2024-07-20,46229.64,44668.953,47314.523,False
2024-07-21,45292.664,43747.266,46382.613,False
2024-07-22,45532.83,43961.98,46614.03,False
2024-07-23,46764.434,45189.05,47851.008,False
2024-07-24,47656.93,46099.203,48780.387,False
2024-07-25,47799.273,46246.8,48903.84,False
2024-07-26,47402.824,45806.812,48501.125,False
