date,timesfm_p50_orders,timesfm_q10_orders,timesfm_q90_orders,uncertainty_band
2018-09-04,47.56221,0.0,105.662315,105.662315
2018-09-05,40.344467,0.0,107.34055,107.34055
2018-09-06,22.129044,0.0,98.661575,98.661575
2018-09-07,7.059799,0.0,91.14847,91.14847
2018-09-08,0.0,0.0,58.159195,58.159195
2018-09-09,0.0,0.0,82.16992,82.16992
2018-09-10,55.10269,0.0,158.68762,158.68762
2018-09-11,68.73343,0.0,176.79065,176.79065
2018-09-12,63.03859,0.0,173.21799,173.21799
2018-09-13,45.017715,0.0,160.41177,160.41177
2018-09-14,27.797379,0.0,146.50325,146.50325
2018-09-15,0.0,0.0,106.2195,106.2195
2018-09-16,6.949188,0.0,125.51545,125.51545
2018-09-17,74.05139,0.0,197.5537,197.5537
2018-09-18,84.08656,0.0,210.52171,210.52171
2018-09-19,75.75226,0.0,200.6727,200.6727
2018-09-20,53.65509,0.0,181.43042,181.43042
2018-09-21,37.560257,0.0,165.09467,165.09467
2018-09-22,0.0,0.0,123.98144,123.98144
2018-09-23,12.275864,0.0,148.21577,148.21577
2018-09-24,78.131714,0.0,213.34431,213.34431
2018-09-25,88.61853,0.0,225.15448,225.15448
2018-09-26,76.94093,0.0,213.27036,213.27036
2018-09-27,54.154694,0.0,190.85524,190.85524
2018-09-28,36.8591,0.0,172.50072,172.50072
2018-09-29,0.0,0.0,135.55434,135.55434
2018-09-30,8.159592,0.0,147.78618,147.78618
2018-10-01,131.04942,0.0,275.65686,275.65686
2018-10-02,141.12431,0.0,288.43118,288.43118
2018-10-03,130.36038,0.0,275.8978,275.8978
