horizon_hours,model,mae,rmse,wmape
1,timesfm,195.05712890625,195.0571296624704,0.15402598306536674
1,seasonal168,262.6666666666667,262.6666666666667,0.20007443924744925
1,naive_last,353.0,353.0,0.28246813158815104
1,seasonal24,521.0,521.0,0.4182265102863312
24,timesfm,320.55609130859375,406.42432693537495,0.13177616894245148
24,seasonal24,594.8333333333334,767.4718926519992,0.24362599104642868
24,seasonal168,630.1527964274088,846.5545834618928,0.25741365800301236
24,naive_last,1025.9722290039062,1338.2716803311068,0.42675397793451947
168,timesfm,547.2986043294271,701.2117552450976,0.24476987620194754
168,seasonal168,839.84326171875,1092.4645962182792,0.38009126484394073
168,seasonal24,849.0218098958334,1168.5820836474822,0.38021446267763775
168,naive_last,990.1805419921875,1341.3251576361333,0.4406937261422475
