ds,y
2026-01-01,120
2026-01-02,118
2026-01-03,121
2026-01-04,119
2026-01-05,123
2026-01-06,125
2026-01-07,124
2026-01-08,126
2026-01-09,127
2026-01-10,129
2026-01-11,128
2026-01-12,130
2026-01-13,131
2026-01-14,
2026-01-15,132
2026-01-16,134
2026-01-17,133
2026-01-18,135
2026-01-19,136
2026-01-20,137
2026-01-21,139
2026-01-22,140
2026-01-23,141
2026-01-24,142
2026-01-25,141
2026-01-26,143
2026-01-27,144
2026-01-28,145
2026-01-29,146
2026-01-30,145
2026-02-01,147
2026-02-02,148
2026-02-03,149
2026-02-04,150
2026-02-05,151
2026-02-06,150
2026-02-07,152
2026-02-08,153
2026-02-09,
2026-02-10,154
2026-02-11,156
2026-02-12,157
2026-02-13,156
2026-02-14,158
2026-02-15,159
2026-02-16,160
2026-02-17,161
2026-02-18,162
2026-02-19,163
2026-02-20,162
2026-02-21,164
2026-02-22,165
2026-02-23,166
2026-02-24,167
2026-02-25,168
2026-02-26,169
2026-02-27,168
2026-02-28,170
2026-03-02,171
2026-03-03,172
2026-03-04,173
2026-03-05,174
2026-03-06,175
2026-03-07,176
2026-03-08,175
2026-03-09,177
2026-03-10,178
2026-03-11,179
2026-03-12,180
2026-03-13,181
2026-03-14,182
2026-03-15,181
2026-03-16,183
2026-03-17,184
2026-03-18,185
2026-03-19,186
2026-03-20,187
2026-03-21,188
2026-03-22,187
2026-03-23,189
2026-03-24,190
2026-03-25,191
2026-03-26,192
2026-03-27,193
2026-03-28,194
2026-03-29,193
2026-03-30,195
2026-03-31,196
